date,portfolio_return,benchmark_return,excess_return,regime
2019-01-02,0.09323979224812816,0.0073542188290112,0.08588557341911696,Bull
2019-01-03,0.08756670107041903,-0.0055232103280835,0.09308991139850253,Bear
2019-01-04,0.08674857710002785,0.019605295075336,0.06714328202469186,Bull
2019-01-07,0.08655799251254248,0.0068278334857718,0.07973015902677068,Bull
2019-01-08,0.08423748315550127,-0.0113202706459195,0.09555775380142077,Bear
2019-01-09,0.08838842451892465,0.0083877182909701,0.08000070622795455,Bull
2019-01-10,0.08360272621985268,0.0096124926295251,0.07399023359032758,Bull
2019-01-11,0.08578731200088824,0.0071154895016454,0.07867182249924284,Bull
2019-01-14,0.09429911173324657,0.0133052713842396,0.08099384034900696,Bull
2019-01-15,0.0872161616672557,-0.0066290970550296,0.0938452587222853,Bear
2019-01-16,0.08700717311489081,-0.0114617263036101,0.09846889941850091,Bear
2019-01-17,0.09535867491286179,0.0053446406369501,0.09001403427591169,Bull
2019-01-18,0.08879801655353096,0.0094417423425068,0.07935627421102416,Bull
2019-01-21,0.07723658115480894,0.0055345631804943,0.07170201797431464,Bull
2019-01-22,0.08641190246244818,-0.0123382278475426,0.09875013030999077,Bear
2019-01-23,0.08768487775931584,-0.0002168055262958,0.08790168328561164,Bull
2019-01-24,0.08652253317435603,0.0118799650394783,0.07464256813487773,Bull
2019-01-25,0.07892669010053291,-0.0074112711530422,0.08633796125357511,Bear
2019-01-28,0.07843927704396177,0.0091922583783898,0.06924701866557197,Bull
2019-01-29,0.07890540960001112,-0.0007907813566995,0.07969619095671061,Bull
2019-01-30,0.07968992630789087,0.0188483240378036,0.060841602270087274,Bull
2019-01-31,0.07778467720572543,0.0039730265489601,0.07381165065676533,Bull
2019-02-01,0.07089875552397361,0.0094000952999311,0.06149866022404251,Bull
2019-02-04,0.07960625621946045,0.016423364911817,0.06318289130764346,Bull
2019-02-05,0.08634019409340979,-0.0160715154950696,0.1024117095884794,Bear
2019-02-06,0.0792091639243528,-0.0057711043235013,0.0849802682478541,Bear
2019-02-07,0.07645970936478526,0.0105101499780566,0.06594955938672865,Bull
2019-02-08,0.08475324461836246,-0.0003155568099326,0.08506880142829507,Bull
2019-02-11,0.07838898702288732,0.0076391908626711,0.07074979616021622,Bull
2019-02-12,0.08172205852156694,0.0045725366862299,0.07714952183533705,Bull
2019-02-13,0.08518202837229055,-0.0103895839519903,0.09557161232428085,Bear
2019-02-14,0.07851570368601805,-0.0108942196053082,0.08940992329132626,Bear
2019-02-15,0.0882062942976898,-0.0124035498111522,0.100609844108842,Bear
2019-02-18,0.08252301332499817,0.0073372918673682,0.07518572145762997,Bull
2019-02-19,0.09148144607637153,-0.0044340221186252,0.09591546819499673,Bull
2019-02-20,0.08388619139881884,0.0049662261128657,0.07891996528595313,Bull
2019-02-21,0.08725432045654194,-0.0069504799390156,0.09420480039555754,Bear
2019-02-22,0.08006918448849004,0.0012078529559673,0.07886133153252274,Bull
2019-02-25,0.07899905710462334,-0.0052840457935779,0.08428310289820123,Bear
2019-02-26,0.08135101577436644,-0.003234145593594,0.08458516136796045,Bull
2019-02-27,0.08340439164390046,0.0031589211586093,0.08024547048529115,Bull
2019-02-28,0.08718723995373379,-0.0041814587027044,0.09136869865643818,Bull
2019-03-01,0.0881044652916762,-0.0028745334777401,0.0909789987694163,Bull
2019-03-04,0.08726249055715418,-0.0049506643027531,0.09221315485990728,Bull
2019-03-05,0.08924385563797844,0.000586121446845,0.08865773419113344,Bull
2019-03-06,0.09399083811961736,0.0013773738238014,0.09261346429581596,Bull
2019-03-07,0.09294193211451836,0.0084308424997323,0.08451108961478605,Bull
2019-03-08,0.08175344839156855,-0.0052768972477837,0.08703034563935225,Bear
2019-03-11,0.08871404318443422,0.0123627616417443,0.07635128154268993,Bull
2019-03-12,0.08881866509012998,0.000447667525262,0.08837099756486798,Bull
2019-03-13,0.08084479378713381,0.0124289042411993,0.06841588954593451,Bull
2019-03-14,0.09002808471086819,-0.0106139120310836,0.10064199674195179,Bear
2019-03-15,0.07807434091612324,0.0008234303847896,0.07725091053133364,Bull
2019-03-18,0.07623037249147693,-0.0093920778508317,0.08562245034230863,Bear
2019-03-19,0.07468686601713773,0.0039196912213717,0.07076717479576602,Bull
2019-03-20,0.08850024829263045,-0.0144917353329648,0.10299198362559525,Bear
2019-03-21,0.07756018266725005,-0.0008507765915286,0.07841095925877865,Bull
2019-03-22,0.08131090229205926,0.0096320222683099,0.07167888002374935,Bull
2019-03-25,0.08676601271994194,-0.018197985467712,0.10496399818765395,Bear
2019-03-26,0.08098354995503221,0.0098778131240133,0.07110573683101891,Bull
2019-03-27,0.08963358069376116,-0.0102885782827568,0.09992215897651796,Bear
2019-03-28,0.08676484545550857,-0.008481222502721,0.09524606795822957,Bear
2019-03-29,0.09474729887274899,0.0044944909077502,0.0902528079649988,Bull
2019-04-01,-0.0016179234389569095,0.0167899026956157,-0.01840782613457261,Bull
2019-04-02,-0.0017816154730573486,0.0126431973598579,-0.01442481283291525,Bull
2019-04-03,-0.008038247471958023,0.0175329263984038,-0.025571173870361823,Bull
2019-04-04,-0.0021026100268716017,-0.003540851593882,0.001438241567010398,Bull
2019-04-05,3.200575874096897e-05,0.0110495531696868,-0.01101754741094583,Bull
2019-04-08,-0.0037261608732572873,-0.0196718429696735,0.01594568209641621,Bear
2019-04-09,-0.00031466961723287555,0.0046726203821907,-0.004987289999423576,Bull
2019-04-10,0.0028141208567001247,-0.006692039253372,0.009506160110072125,Bear
2019-04-11,0.004658860960520994,0.008656890716608,-0.0039980297560870065,Bull
2019-04-12,-0.00047914555566375356,-0.0143936830293688,0.013914537473705047,Bear
2019-04-15,0.0011567391195393935,-0.0117962160149159,0.012952955134455293,Bear
2019-04-16,0.0007658359803095548,0.0148484502125292,-0.014082614232219645,Bull
2019-04-17,0.001980405319546968,-0.0046147701654728,0.006595175485019768,Bull
