report_date,period_end,symbol,sector,revenue,ebitda,net_income,operating_cf,capex,fcf,total_debt,cash,equity,invested_capital,roic,wacc,fcf_conversion,debt_ebitda,gross_margin,pe,pb,ev_ebitda
2019-05-15,2019-03-31,ADVANC,Agri & Food,49656367438.76504,12582088325.263577,6377773458.646528,8538781573.618396,2969141884.871371,5569639688.747025,235555213404.1425,16399402860.429876,59035163049.2297,69195134558.99411,0.14110707305866563,0.0496788608763723,0.8732890443444814,1.0998990433099598,0.21304296996246697,9.101639863471085,3.047438992921147,10.15755660725575
2019-05-15,2019-03-31,AOT,Consumer,26867024983.52926,7903768035.214484,4673783701.39128,6615150436.969545,2496762471.958665,4118387965.0108805,132930592215.5018,3319075010.095418,31285502022.858696,53739509137.16065,0.20145331520562276,0.04829772219947954,0.8811678563098522,1.3598453015758913,0.4345714929878258,9.83553751059508,0.9501615943671671,9.47041832371212
2019-05-15,2019-03-31,BDMS,Financials,5833599937.352426,1456391183.1658287,867060907.299664,1149887349.0415976,428773083.9075851,721114265.1340125,50206105469.52455,2195556864.404063,6401301088.223035,15512107669.287985,0.07756098912009037,0.051314960230205556,0.8316765974143832,2.1302116970481184,0.35347640804333813,18.834988522602078,1.6936066350756303,9.586138443301339
2019-05-15,2019-03-31,BBL,Industrials,16732784704.90918,4453157538.323224,2514067154.9509497,3398634363.348763,1110396850.390985,2288237512.957778,79683405809.54288,2874288366.979758,20473504115.761032,25090348589.311584,0.05587080412891268,0.056943781516969674,0.9101735840474883,1.1268565449745582,0.2763739962538225,6.924830036590159,3.951759826712132,7.229580308914389
2019-05-15,2019-03-31,BEM,Petrochem & Chem,19003056678.607307,4383448204.027874,2410446511.7315865,3474076853.770256,851700205.5752532,2622376648.1950026,224761824945.36,5465817069.655114,19703187158.09462,62741869219.45672,0.13428015888622416,0.037594247971460215,1.0879215263362854,2.862671864666009,0.3512360432204096,9.662977225821757,2.045753688322239,11.512788616808367
2019-05-15,2019-03-31,BGRIM,Property,25828789082.8516,4687742536.49947,2320921410.224381,2447600971.9036174,1436489782.9439754,1011111188.9596419,189538762837.86603,10190783090.12503,26835492207.51675,32686997051.767227,0.14784965430418037,0.043671787427235716,0.4356507654698615,1.3945730507706573,0.2615271207990493,29.389541472228817,3.1820474832779495,12.81574580375326
2019-05-15,2019-03-31,BH,Health Care,64808373430.404015,11123783880.483635,5826576598.606454,6769167279.103999,2915521364.113361,3853645914.9906383,741563245218.5763,26951666039.391914,75180033012.3911,102443106401.7745,0.08213273730350755,0.051380264883678264,0.6613911015796681,1.8418751659047967,0.3782050569006448,14.969861915478251,1.8187118456616742,7.579238145058322
2019-05-15,2019-03-31,BJC,Resources,37955503132.02847,10081670491.47594,5185486034.342372,6922480595.955065,1386716825.402492,5535763770.552572,587282183626.8142,13935208464.810953,42639769684.25457,200625121214.02588,0.14036250081484902,0.04425388964778107,1.0675496441202204,3.9799975883690024,0.2911077958565609,12.65840267767371,4.0617915889814284,11.397917453119568
2019-05-15,2019-03-31,BTS,Services,90386663797.21841,24873777464.87951,10441539565.54046,11327613287.701925,2992301804.58338,8335311483.118546,335480592095.4061,31076575686.94552,100727476724.27673,124011416992.71555,0.06580008624245164,0.05466491690508894,0.7982837617765713,0.9971257254175669,0.4169727580892807,15.516821059414498,2.636699352404514,9.57033774178608
2019-05-15,2019-03-31,CBG,Technology,85132463608.30615,22240995295.459084,10501115008.29587,11318174362.406717,6149324450.925835,5168849911.480883,1097838120743.4396,41929477096.93508,91167567687.16199,380604803665.0251,0.11068635910360025,0.053706866429941144,0.4922191507661326,3.4225519011978096,0.24851435784344347,16.160441379341798,1.5861286393243492,9.299001885004959
